mAb_name,AbStruc_loops,AbStruc_amide_amide_interactions,AbStruc_amide_ring_interactions,AbStruc_beta_bridges,AbStruc_carbon_pi_interactions,AbStruc_cation_pi_interactions,AbStruc_donor_pi_interactions,AbStruc_beta_strands,AbStruc_threeten_helices,AbStruc_alpha_helices,AbStruc_total_interactions,AbStruc_metsulphur_pi_interactions,AbStruc_beta_bends,AbStruc_beta_turns,AbStruc_aromatic_interactions,AbStruc_atom_atom_sum,AbStruc_atom_plane_sum,AbStruc_carbonyl_interactions,AbStruc_steric_clashes,AbStruc_covbonds,AbStruc_mean_interaction_distance,AbStruc_hbonds,AbStruc_hydrophobic_interactions,AbStruc_ibonds,AbStruc_phi_angle,AbStruc_plane_plane_interactions,AbStruc_pbonds,AbStruc_proximal_interactions,AbStruc_psi_angle,AbStruc_vdw_interactions,AbStruc_vdw_clashes,AbStruc_weak_pbonds,AbStruc_folding_energy,AbStruc_unfolded_charge,AbStruc_folded_charge,AbStruc_sasa,AbStruc_schains_sasa,AbStruc_lauer_SAP,AbStruc_lauer_DI,AbStruc_free_cys,AbStruc_cys_bridges,AbStruc_pcharge_hetrgen,AbStruc_ncharge_hetrgen,AbStruc_plane_group_interactions,AbStruc_folded_pI,AbStruc_unfolded_pI
Bavituximab,45,9,6,1,51,0,7,119,15,0,8437,4,14,32,18,8350,62,50,0,2,4.307203982458219,191,580,24,-83.11064910888672,10,268,7883,97.1827392578125,124,341,207,7.74,2.55,2.03,10707.312304738049,8186.47519474615,26.072004904128782,25.906559904128788,4,2,5.647985862176873,4.632843273617039,15,8.3,8.5
Spartalizumab,55,3,9,0,40,1,11,111,12,0,8896,6,19,32,65,8810,58,51,0,2,4.297254946043165,190,560,26,-81.413116455078125,16,261,8246,96.03888702392578,135,427,235,13.1,3.08,3.67,10622.00069048226,8109.759606958948,26.72421827252351,26.425113272523507,4,2,5.287225116606033,4.63300881130863,12,9.15,8.88
Spesolimab,53,11,12,0,57,0,8,112,15,0,8721,9,19,27,66,8607,74,51,0,1,4.311057218208921,179,640,17,-81.04912567138672,17,247,8099,102.87037658691406,145,362,224,9.77,6.8,5.79,10681.098990507731,8293.935884106982,26.3243066492914,25.852421649291397,4,2,6.210965841136816,4.581662788656716,23,9.87,9.52
Sudubrilimab,48,12,9,0,41,3,5,117,12,0,8504,2,17,31,31,8420,49,47,0,2,4.308454844778926,190,524,29,-81.8555679321289,14,251,7914,98.3431396484375,138,366,220,0.28,3.55,2.95,10356.79998914004,7958.849508108234,27.51950305258075,27.27907805258075,4,2,6.100746741994544,4.542540757241986,21,9.14,8.95
Sugemalimab,59,8,12,3,44,4,10,102,15,0,8665,4,16,32,53,8576,59,34,0,2,4.312423542989036,186,583,24,-79.94933319091797,10,267,8119,101.55461883544922,119,336,218,9,2.31,2,10495.817324325732,7796.99195345426,27.23156282959783,27.06856282959783,4,2,4.489546792392655,4.065576476893771,20,8.34,8.5
Suptavumab,56,11,10,0,45,2,7,115,9,0,9021,3,17,33,40,8935,56,46,0,1,4.300862432102871,195,634,23,-81.880889892578125,9,272,8358,97.92610168457033,137,439,228,14.58,3.07,4.07,10750.861977487431,8294.629524971355,28.85124183346897,28.51953683346897,4,2,5.562158839796252,4.761998922704575,21,9.24,8.88
Sutimlimab,51,13,9,0,51,1,8,113,12,0,8896,10,18,33,61,8797,69,46,0,2,4.289677383093525,188,601,21,-83.25682067871094,8,262,8240,96.95421600341795,128,427,265,8.59,7.55,7.01,10339.734594126903,7941.9362705478015,28.4318683290982,27.8605533290982,4,2,5.86478569070549,5.108117033895048,22,9.83,9.54
Befovacimab,49,10,7,3,53,6,7,110,12,0,8592,3,15,33,46,8491,65,47,0,2,4.320190875232775,184,562,23,-84.597320556640625,19,248,8047,99.17113494873048,125,317,230,15.97,3.16,3.89,10954.273625318205,8335.805445959219,28.61915014122108,28.30211514122108,4,2,4.38699123641388,4.864144337598146,17,9.34,9.11
Tabalumab,56,8,10,0,42,0,4,114,9,0,8495,0,18,32,26,8422,46,45,0,1,4.302961742201294,185,554,36,-81.1104736328125,9,255,7937,95.62884521484376,123,361,219,11.77,6.07,5.32,10784.243306032104,8474.984019634772,31.091082194392516,30.657502194392517,4,2,5.881011370992122,5.785729234282579,18,9.68,9.41
Tafasitamab,60,7,7,2,38,2,6,109,12,0,9120,8,17,32,48,9042,52,43,0,2,4.294196271929824,200,640,31,-79.61207580566406,12,290,8417,98.52202606201172,158,465,247,9.36,2.32,1.94,10840.416501877093,8363.523713257151,28.32008080863253,28.161970808632528,4,2,5.82279060456529,4.452265315745584,14,8.51,8.43
Tafolecimab,53,11,9,2,36,2,5,114,9,0,8563,0,22,31,33,8487,42,50,0,1,4.293023473081864,184,571,30,-83.8454360961914,14,249,7942,101.67659759521484,147,397,235,9.2,6.82,7.46,10746.005746885652,8230.328097712041,30.452986454947183,29.844996454947182,4,2,5.369007805227502,5.647601958571665,20,9.91,9.49
Talacotuzumab,48,8,9,1,48,4,8,120,15,0,9056,3,17,32,35,8962,60,43,0,2,4.305588560070672,193,582,15,-84.10728454589844,17,255,8408,97.18370819091795,163,389,229,24.63,4.07,4.87,10815.568444967032,8339.638449577154,28.195559924692848,27.798654924692848,4,2,5.6184611762035015,4.820770158349736,17,9.22,9.06
Begelomab,48,7,11,0,30,3,14,122,6,0,8693,6,19,31,39,8613,51,48,0,0,4.306470723570689,181,542,27,-84.3535385131836,11,246,8093,96.13011932373048,158,362,235,7.83,7.83,7.79,10428.136186078407,7927.297762171408,27.619744581857915,26.984859581857915,4,2,6.081261406970168,4.965536236708045,18,10,10
Tanezumab,48,18,9,0,42,3,6,119,6,0,8766,0,18,37,30,8670,49,49,0,2,4.310855578370979,182,619,25,-86.000885009765625,20,255,8196,97.23809814453124,118,354,243,13.08,4.31,5.86,10502.62732895442,8185.6687731128095,28.906310585860705,28.428720585860702,4,2,5.247128805838228,5.643131078985599,27,9.49,9.11
Tanibirumab,49,7,9,3,55,0,9,114,12,0,8822,8,13,36,62,8718,72,52,0,2,4.303381319428701,186,611,25,-81.041412353515625,16,263,8184,103.22557067871094,130,402,218,16.36,1.65,1.21,11040.293477099076,8525.76058340888,27.347261397846257,27.248646397846255,4,2,5.522734270568808,4.298566299810375,16,8.33,8.35
Tarextumab,53,10,4,1,41,2,6,103,15,0,8004,4,18,30,17,7933,52,44,0,2,4.316236881559221,185,503,19,-81.3718032836914,5,252,7521,98.33636474609376,118,292,185,1.76,5.83,6.21,10421.331224190682,7971.958410335878,28.19776677926064,27.691651779260635,4,2,4.154275902168688,4.297373233423935,14,10.12,9.61
Temelimab,51,7,5,1,41,0,8,117,3,0,7695,6,17,33,12,7624,55,39,0,1,4.295212475633528,164,478,13,-82.7184829711914,4,222,7157,98.82520294189452,109,357,209,5.11,6.07,5.76,10703.585343906669,8111.215504809318,28.02688807113696,27.55744807113696,4,2,5.689169335364586,4.281408825191384,12,9.75,9.48
Tesidolumab,52,7,6,3,37,0,8,108,9,0,8083,5,14,37,12,8015,50,39,0,2,4.311811208709638,177,476,12,-79.725555419921875,5,254,7578,96.4111785888672,132,303,205,13.45,-4.07,-3,10726.385629786682,8124.114330408705,28.25974335127052,28.50424335127052,4,2,4.923993616324645,4.719007952644555,13,5.32,4.84
Tezepelumab,52,13,11,4,43,4,11,113,12,0,8861,3,13,36,45,8764,58,34,0,2,4.32086446225031,209,565,21,-84.24653625488281,15,285,8308,98.1073989868164,134,320,202,12.42,2.04,1.29,10888.567755148766,8362.685591553438,27.15200653024497,27.04687153024497,4,2,5.158720989174788,4.171112587959801,24,7.89,8.02
Ticilimumab,57,8,10,0,48,6,8,112,9,0,9188,8,21,33,30,9094,67,43,0,2,4.314572268175882,207,604,24,-82.45994567871094,9,273,8581,98.50476837158205,154,357,241,18.65,6.06,6.88,10621.940663976442,8208.994350173025,28.803180062180264,28.242460062180264,4,2,6.003260345220591,5.680879393563882,18,9.62,9.35
Tigatuzumab,52,10,6,0,52,6,9,113,9,0,8644,6,18,33,27,8550,69,39,0,2,4.299534937528922,187,564,23,-83.20086669921875,9,264,8053,93.52620697021484,135,360,213,19.34,6.07,5.96,10227.466772703408,7813.162813424238,26.091964250267136,25.606224250267136,4,2,5.21895220672074,4.550836287193298,16,9.63,9.48
Tilogotamab,57,9,4,2,44,0,5,107,6,0,8413,5,22,29,59,8333,54,41,0,1,4.282880066563651,165,584,11,-82.88298034667969,13,233,7759,100.52420806884766,127,446,235,10.1,5.55,4.92,10407.002589785936,7964.876633216283,25.755712085265884,25.354732085265884,4,2,5.784771984154489,3.926975893924495,13,9.55,9.33
Timolumab,51,13,8,0,55,3,16,112,12,0,8798,3,21,28,44,8689,75,48,0,2,4.301449192998409,187,621,23,-85.49199676513672,13,250,8178,97.29996490478516,123,386,230,12.55,4.07,5.35,10266.363530216626,7812.07979325435,26.58166473021906,26.14563973021906,4,2,5.783801235373778,5.073455358324878,21,9.81,9.22
Tiragolumab,55,16,9,0,37,0,6,120,6,0,9098,0,23,35,38,9014,43,53,0,2,4.297245548472192,191,614,35,-88.659454345703125,16,254,8467,95.5677719116211,139,406,218,7.28,2.83,2.92,11420.024701816788,9016.06241852016,31.116729913993296,30.878749913993296,4,2,5.280880592110849,4.955643701465257,25,9,9
Tislelizumab,47,13,7,0,36,0,5,113,12,0,8232,0,24,28,49,8156,41,40,0,1,4.303872691933916,189,513,20,-81.46922302246094,15,255,7674,95.25536346435548,122,359,233,4.71,2.53,1.77,10510.278086607988,8320.364746503607,30.052529640928743,29.90827464092874,4,2,6.143650289291019,5.093163541697262,20,8.19,8.31
Tisotumab,54,16,8,0,36,4,6,111,15,0,8544,4,20,25,32,8462,47,55,0,2,4.306461844569288,189,529,26,-82.49645233154297,11,268,7981,97.08756256103516,122,357,225,2.9,3.83,3.98,10644.584975358255,8204.224676883177,27.480813725350547,27.15644372535055,4,2,5.027179980119639,4.655220951555457,24,9.4,9.11
Benralizumab,52,10,6,0,44,3,8,119,12,0,8738,5,14,31,36,8651,57,56,0,1,4.301643396658274,175,622,10,-83.10832214355469,14,244,8126,100.4815902709961,117,407,230,12.53,7.31,6.91,11103.17044248864,8631.052829365233,28.070393145891583,27.507228145891585,4,2,5.367016103923878,3.7593223530407474,16,9.71,9.49
Tocilizumab,51,7,9,1,44,0,4,116,12,0,8404,5,17,29,32,8322,53,55,0,2,4.309207520228463,193,584,27,-82.87433624267578,13,259,7852,93.75531005859376,130,338,221,-0.42,8.3,7.94,10753.70819940726,8352.683442938685,28.50122549634493,27.854115496344924,4,2,5.163461356701766,5.266010539737633,16,10.15,9.74
Tomuzotuximab,48,9,8,0,48,5,9,116,9,0,8471,3,18,34,35,8376,62,47,0,1,4.3149238578680205,182,615,24,-84.355987548828125,16,242,7913,97.16310119628906,126,336,205,16.77,3.29,3.29,10622.687137577876,8235.718367027603,28.49623567834898,28.22810067834898,4,2,5.860145903044069,5.371361048256558,17,9,9
Tovetumab,53,16,8,0,47,2,7,115,9,0,8916,7,18,33,15,8825,62,42,0,2,4.314736428891881,197,651,30,-82.63945007324219,5,266,8336,98.21183013916016,145,342,213,10.43,8.07,8.66,10335.37219657213,7849.701053612562,25.235570539655075,24.529780539655075,4,2,5.185838928750885,5.132630835910655,24,10.1,9.8
Tozorakimab,51,15,7,5,39,7,11,109,15,0,8649,5,14,35,11,8565,57,43,0,2,4.306827378887733,188,549,18,-83.54061126708984,5,261,8100,96.40656280517578,130,333,199,17.56,3.92,3.7,10760.20901118424,8062.7765544071945,29.11735867971853,28.815808679718536,4,2,3.50656143334261,3.9726254022628176,22,9.3,9.37
Tralokinumab,56,10,7,4,44,6,11,106,15,0,8434,7,18,29,12,8348,63,48,0,2,4.314835190894001,186,518,25,-83.7517318725586,6,257,7936,98.654815673828125,119,291,196,18.22,1.08,1.01,10644.992501742006,8019.072561513708,27.137280050170435,27.05496505017044,4,2,5.409131635570524,4.153289550869831,17,8,8
Tremelimumab,57,12,10,0,48,5,7,113,9,0,9065,8,18,35,25,8967,66,45,0,2,4.308400441257584,197,598,29,-79.620269775390625,10,274,8464,97.13533020019533,121,380,214,18.65,6.06,6.9,10666.686134750997,8260.106361569879,29.07979160990222,28.51744160990222,4,2,5.882142417760081,5.4177602218102985,22,9.64,9.35
Trevogrumab,54,10,9,1,29,3,4,112,15,0,8406,3,20,25,13,8346,37,46,0,2,4.303484415893409,187,545,25,-82.80482482910156,4,263,7849,94.49999237060548,122,373,204,6.47,3.83,2.84,10914.356388336497,8370.208291088162,28.96918957565188,28.737729575651883,4,2,4.977430121752861,4.893770471072149,19,9.12,9.2
Ublituximab,51,13,7,2,60,1,11,113,15,0,8482,16,18,25,47,8353,87,52,0,2,4.307576043385994,180,551,25,-82.59732818603516,22,246,7869,101.62503814697266,151,331,204,1.46,8.3,7.67,10484.56064127691,8093.490033327471,28.52855786515155,27.90345286515155,4,2,6.302858320940294,5.22861733098519,20,9.76,9.62
Ulocuplumab,53,13,7,0,43,11,12,115,9,0,9179,7,20,35,65,9078,66,43,0,2,4.297689290772416,205,619,21,-82.78834533691406,15,273,8527,92.49828338623048,139,410,227,15.57,4.83,5.01,10833.690569151098,8473.692270460007,27.86493655868089,27.456621558680887,4,2,5.122915600345981,4.875660358780264,20,9.5,9.22
Unasnemab,52,12,9,2,60,2,5,107,15,0,8670,4,19,28,8,8570,70,42,0,2,4.31957785467128,191,599,32,-82.74305725097656,9,256,8115,96.62062072753906,134,319,219,8.71,4.32,5.85,10685.948115930829,8160.859193721067,24.77325062303903,24.29647562303903,4,2,4.847580081316365,5.75723938552072,21,9.52,9.24
Upifitamab,53,6,9,0,49,6,10,115,12,0,8533,5,14,32,31,8444,66,50,0,2,4.292205554904489,181,606,10,-81.054412841796875,8,244,7897,103.6282958984375,124,421,229,12.6,6.07,4.64,10362.695784662224,7875.366775420393,26.29447861323492,25.91631861323492,4,2,5.633530011551932,3.900982934516888,15,9.43,9.4
Urabrelimab,52,17,6,0,36,2,9,112,12,0,8605,0,26,29,48,8521,46,55,0,2,4.2888564787914,191,577,35,-86.25279998779297,15,263,7959,96.380950927734375,157,403,241,11.9,4.08,5.97,10934.100477217484,8431.286339801472,30.40473605651161,29.91818105651161,4,2,5.432019450921707,5.375067176476433,23,9.65,9.24
Urelumab,58,6,13,0,47,9,11,114,6,0,8808,0,19,33,69,8714,61,48,0,2,4.294391462306994,179,634,20,-85.11307525634766,14,255,8139,97.630859375,149,424,241,17.35,1.08,2.41,10887.48211556287,8374.638253595733,29.70534601276196,29.508931012761963,4,2,5.401600950355365,5.357620280788629,19,8.16,7.91
Ustekinumab,53,5,10,0,51,5,8,112,12,0,9055,3,16,33,26,8968,64,43,0,2,4.289672004417449,177,651,14,-83.217254638671875,8,253,8368,100.37921905517578,131,467,231,13.38,5.83,5.82,10426.190579976092,8100.799692057362,27.07812101593163,26.60379101593163,4,2,5.826809375284231,4.682024372571622,15,9.72,9.45
Utomilumab,46,6,9,3,44,6,8,108,15,0,8323,3,15,36,27,8243,56,39,0,2,4.315794785534062,183,520,19,-83.87353515625,9,260,7833,102.59461975097656,133,275,211,9.79,0.16,-0.18,10839.103743487818,8373.126597294931,30.293479813052848,30.308149813052847,4,2,5.128664437663207,4.786234134278097,15,6.66,7.22
Vanalimab,50,13,8,5,36,5,7,113,12,0,8637,7,12,38,39,8552,52,38,0,2,4.311860599745282,209,542,15,-82.44737243652344,12,275,8041,94.999542236328125,142,367,231,9.22,4.07,4.02,10300.634753983086,7600.96625491225,26.376010894681933,26.048380894681937,4,2,4.559839354235308,4.566866509368056,21,9.59,9.22
Varlilumab,50,12,9,0,51,4,11,115,15,0,9138,3,19,27,65,9037,66,48,0,2,4.287922959072007,196,646,25,-82.26726531982422,14,278,8412,92.50665283203124,152,471,213,15.06,7.07,6.91,10438.409883236249,8106.999924684266,25.63620592543105,25.073040925431048,4,2,5.736807271419142,4.897602560394175,21,9.88,9.6
Vatelizumab,50,13,10,2,38,3,8,116,6,0,8381,5,19,32,23,8297,52,43,0,2,4.309269776876269,174,564,24,-85.27420806884766,9,237,7798,100.74532318115234,118,379,222,13.35,3.31,3.77,10723.545589105292,8403.459211773048,30.957843895871164,30.650588895871163,4,2,6.193251946434616,5.36818424163303,23,9.14,8.89
Abagovomab,49,12,11,2,50,6,12,116,12,0,8435,4,14,32,33,8332,68,55,0,2,4.295798458802608,189,559,10,-79.92889404296875,12,256,7813,96.10536193847656,131,386,234,9.1,8.12,7.3,10739.4046996114,8223.304844191067,26.33132883418374,25.73637883418374,4,2,5.329080014493378,4.57915703999329,23,9.72,9.61
Veltuzumab,56,6,12,1,47,2,7,115,12,0,8558,8,14,28,91,8456,63,49,0,2,4.296472306613695,177,550,15,-85.42078399658203,21,242,7916,96.83405303955078,146,392,235,6.54,4.31,3.41,10606.676177865029,8138.602482233238,27.283823729671077,27.005908729671077,4,2,6.056017250387348,4.503871702428493,18,9.25,9.09
Vibostolimab,50,5,11,0,47,6,12,112,15,0,8549,6,21,27,63,8449,67,52,0,2,4.306935314071821,175,581,20,-85.15245819091797,17,251,7952,96.1973114013672,140,355,243,5.59,5.79,5.11,10765.115253237433,8372.519868454297,26.84332408136164,26.42685908136164,4,2,5.844012081423553,4.268509756186176,16,9.54,9.26
Vilobelimab,43,7,9,1,40,6,11,121,18,0,8271,5,19,28,6,8192,57,31,0,2,4.323767380002419,183,522,29,-81.87479400634766,6,251,7781,100.89871978759766,126,283,182,21.23,-0.92,-0.76,10998.535126870023,8453.064328381437,26.917492472452075,26.979432472452075,4,2,5.7708679613507465,4.782058455717997,16,6.6,6.1
Vixarelimab,50,7,13,5,39,1,11,118,15,0,9143,13,11,36,11,9054,63,48,0,2,4.304594771956688,200,551,20,-84.351470947265625,6,280,8498,97.7148666381836,158,396,265,15.85,0.16,1,10824.611181701888,8210.627841532376,28.95407476499843,28.872574764998436,4,2,4.724350189394245,4.9452474834615465,20,8.14,7.23
Vofatamab,55,10,8,0,45,1,5,120,6,0,8721,5,17,36,44,8642,55,56,0,1,4.299922027290449,193,569,24,-84.65513610839844,6,268,8132,92.45765686035156,129,380,227,8.64,1.07,1.27,10853.007744372206,8320.148628781648,28.672618671670715,28.56911367167072,4,2,5.598085936615938,4.647811014068585,18,8,8
Vonlerolizumab,58,6,4,0,60,0,6,110,12,0,8790,1,14,30,50,8701,67,56,0,2,4.296050056882822,181,658,15,-83.03479766845703,12,245,8169,100.53617095947266,139,391,247,8.7,4.07,4.7,10561.34069228392,8343.880582870459,26.00388418646397,25.620834186463973,4,2,4.903102910551483,3.841880554618079,10,9.35,9.14
Vopratelimab,51,19,8,0,54,2,9,118,9,0,9254,6,19,31,48,9144,70,53,0,2,4.306550680786687,192,581,18,-82.12981414794922,13,267,8604,94.1417007446289,135,403,259,16,0.8,1.04,10540.186340546292,8141.694216188333,28.532580961802307,28.447820961802307,4,2,5.747673388769574,5.1910088148560405,27,7.88,7.41
Bermekimab,54,9,6,0,52,2,4,116,12,0,8765,2,18,29,32,8683,59,44,0,2,4.313354249857387,200,651,24,-84.16986083984375,8,262,8194,94.7310028076172,130,357,203,3.08,7.56,6.99,10537.78066144566,7937.875890550687,25.981803418371346,25.412118418371342,4,2,5.765512581202644,4.299813378421052,15,10,10
Vunakizumab,54,9,7,0,52,4,12,119,15,0,8823,12,16,24,57,8710,77,46,0,2,4.308345234047377,180,555,13,-84.257904052734375,20,248,8172,101.38333129882812,149,387,229,22.39,1.32,0.68,10489.698999485883,7958.003887873754,26.911931157981947,26.856511157981945,4,2,6.376081654418991,4.292662779993406,16,8,8
Zampilimab,52,17,9,0,39,2,5,109,15,0,8422,3,18,27,44,8340,47,45,0,1,4.3021930657801,188,567,21,-81.25068664550781,9,262,7848,99.11132049560548,136,355,226,5.02,4.07,3.93,10686.144724343249,8252.956484511376,27.610289515301623,27.289994515301625,4,2,4.734034689315075,3.959592061475891,26,9.46,9.21
Bersanlimab,51,14,8,5,43,0,8,110,12,0,8918,3,14,36,108,8808,54,41,0,2,4.3018288854003135,193,588,17,-82.378509521484375,34,273,8264,95.21227264404295,131,411,228,11.16,2.07,2.39,10315.887536693945,7716.749691503746,26.44991055357669,26.255125553576686,4,2,4.719645968663014,4.24607345373814,22,8.5,8.5
Zanolimumab,46,9,6,0,44,0,7,115,6,0,8502,0,22,33,55,8423,51,56,0,1,4.297865208186309,182,632,20,-83.25228118896484,13,240,7902,99.4175796508789,131,389,213,3.76,5.31,5.55,10174.944542431236,7994.442978177134,28.2705469304008,27.818221930400803,4,2,5.906595047778865,5.136488873436088,15,9.62,9.42
Zansecimab,52,10,9,0,40,3,8,116,12,0,8501,7,16,31,27,8417,56,49,0,2,4.310962239736503,185,519,20,-82.2656478881836,9,249,7936,98.3259735107422,148,331,228,14.59,3.07,3.53,10932.625077469796,8461.604873559114,28.58196605212461,28.29427105212461,4,2,5.518231474312485,4.305734543786566,19,9.01,8.82
Zelminemab,52,7,7,0,51,4,8,113,15,0,8522,6,20,27,28,8434,66,47,0,1,4.28870452945318,175,614,21,-83.6489028930664,8,240,7909,98.6259536743164,129,395,215,14.73,7.55,7.1,10771.389262842458,8217.666581109685,26.9676639760702,26.3890139760702,4,2,6.125403705295093,4.621114304223687,14,10,10
Zeluvalimab,55,12,9,2,36,2,5,109,15,0,8539,5,18,28,43,8460,47,51,0,2,4.315731350275208,189,565,25,-80.899566650390625,11,259,8028,94.57574462890624,115,315,207,-0.41,1.32,0.74,10536.303614519727,7987.226922663565,26.74805958258902,26.687749582589017,4,2,5.115625484300653,4.621203931466914,21,8,8
Ziltivekimab,47,10,6,0,42,0,9,118,9,4,8881,5,18,29,40,8801,56,63,0,2,4.292079720752168,187,612,25,-84.80311584472656,8,248,8214,94.27338409423828,121,464,235,10.71,3.07,4.6,10421.910447784288,8017.267235358193,26.33923675820501,25.96433675820501,4,2,5.00557738914739,4.533654873055903,16,9.39,8.92
Zimberelimab,52,16,9,5,45,0,10,110,9,0,9017,1,15,39,98,8914,56,48,0,1,4.295973161805479,188,592,23,-83.71611785888672,22,264,8333,101.61436462402344,153,427,242,15.75,0.38,0.89,10124.587700043066,7715.908021991021,29.532135580963168,29.45960058096317,4,2,4.511571062080627,4.956639132146858,25,7.69,7.34
Zolimomab,48,11,12,1,51,0,7,118,18,0,8721,11,15,25,58,8602,69,51,0,2,4.307548446279097,185,563,11,-81.87464904785156,27,261,8108,96.0333480834961,142,350,225,21.07,6.53,5.97,10573.06100319698,8179.217672152662,26.64306121081149,26.156506210811493,8,2,5.717262045242053,4.798374557188212,23,9.52,9.26
Zuberitamab,47,11,12,1,53,0,8,115,9,0,8554,10,19,33,69,8443,71,51,0,1,4.306831891512743,174,609,14,-85.25135040283203,17,253,7940,96.20671081542967,139,363,215,5.71,6.4,5.86,10546.57783411696,8013.543699226332,28.27184355458059,27.794253554580592,4,2,6.334987695291531,5.280490534798439,23,9.72,9.51
Bexmarilimab,47,9,13,0,45,4,14,122,15,0,9264,6,15,30,59,9160,66,55,0,2,4.301615932642487,194,620,24,-84.183837890625,16,276,8604,104.23008728027344,157,397,265,11.06,7.03,5.42,10294.086227427948,8134.035501516221,28.732664200137897,28.290934200137897,4,2,5.629147884214743,4.682091962083715,22,9.67,9.42
Bleselumab,54,7,10,1,44,0,7,111,6,0,8580,0,22,33,64,8502,51,50,0,1,4.296520979020979,183,573,16,-83.0621337890625,10,239,7965,96.04627227783205,139,397,224,10.94,7.05,6.89,10314.385877266164,7922.633753265767,28.638282763913764,28.076747763913765,4,2,5.1833125210228985,5.352831967006725,17,9.82,9.46
Brazikumab,62,10,8,8,39,1,8,98,12,0,9162,3,12,41,112,9080,50,46,0,2,4.298672778869243,213,595,30,-79.9510726928711,14,292,8485,97.0879898071289,149,444,229,18.39,1.31,1.96,10767.4953635452,7925.385742594834,28.38765421975881,28.227914219758816,4,2,5.645537818191594,4.791007953059581,18,8.43,7.94
Briakinumab,61,13,6,7,46,1,5,94,9,0,8805,3,16,37,42,8722,54,50,0,2,4.315672913117547,197,548,18,-79.05132293701172,10,269,8254,99.65266418457033,131,335,221,16.03,8.78,7.03,10663.372107457268,8138.138556655304,26.638573638871552,26.06562863887155,4,2,5.75747863723563,4.839098068124945,19,10,10
Brodalumab,50,9,9,0,39,9,9,115,12,0,8328,6,17,29,32,8241,57,47,0,2,4.306002641690683,177,548,19,-83.75919342041016,12,239,7737,99.68116760253906,139,363,218,7.56,6.83,6.85,10743.943231743748,8293.060190181926,27.83155583275957,27.27328083275957,4,2,5.414048571478128,5.028221810398065,18,10,10
Burosumab,53,9,7,0,37,4,5,110,6,6,8454,6,17,31,38,8376,50,43,0,2,4.292855453039982,188,531,20,-83.57756805419922,12,253,7809,93.51123809814452,148,417,247,17.78,3.31,3.53,10356.928860133026,7940.109867343678,27.76182833937205,27.474133339372056,4,2,5.802341553708331,4.982176660588522,16,9.22,8.99
Cabiralizumab,56,6,7,0,38,2,9,113,12,0,8757,10,19,32,33,8680,58,49,0,2,4.2992177686422295,181,616,27,-81.814666748046875,6,243,8138,99.167724609375,137,403,238,20.01,-2.92,-1.47,10928.817178450094,8235.492201575953,27.90063557895264,28.02044057895264,4,2,5.778036791907668,4.799302095838623,13,6.2,5.28
Carlumab,47,4,8,0,45,0,8,117,12,0,8701,5,14,37,65,8622,58,48,0,2,4.294697161245834,188,578,34,-82.7960433959961,9,257,8098,94.804443359375,136,386,244,12.05,0.32,0.51,10392.323953874353,7910.111529373015,27.662515993271164,27.620950993271165,4,2,5.7785675445185465,5.002117702110258,12,7.29,7.25
Cetrelimab,47,7,7,0,42,2,4,120,9,0,8289,5,20,33,6,8221,52,52,0,2,4.312111231752925,189,494,40,-82.78118896484375,2,260,7795,95.8227081298828,128,296,216,6.49,2.84,2.38,10837.213645140984,8348.311880573307,29.75664521491128,29.56267521491128,4,2,5.206124609198454,4.446672395939582,14,9,9
Cetuximab,52,19,12,0,52,5,8,113,9,0,8578,2,18,33,38,8465,64,48,0,2,4.311975985078107,196,617,20,-85.6199951171875,18,257,7977,97.23687744140624,134,352,225,8.98,3.31,2.83,10608.465171826789,8262.066901832373,28.05319437555724,27.82254937555724,4,2,5.5556489661298,5.237236902252628,31,9.04,8.95
Adalimumab,56,14,13,1,46,2,8,111,12,0,8733,4,23,24,25,8639,59,32,0,2,4.321248139241956,186,560,27,-81.9942626953125,8,257,8217,103.95641326904295,122,298,221,13.16,4.31,4.23,10525.21896806709,8146.846920694746,26.09131968120917,25.74657468120917,4,2,5.7258872085916,4.445102981829979,27,9.4,9.2
Cilgavimab,51,16,7,0,53,2,8,130,12,0,9256,3,17,33,40,9157,64,46,0,3,4.310419187554019,197,646,26,-85.47199249267578,12,261,8632,100.46217346191406,137,385,229,11.84,2.84,4.55,11650.779914235412,8815.520118435792,29.900285788447267,29.529460788447267,4,2,5.375157446556647,4.551373882667021,23,9,9
Cixutumumab,58,8,4,1,40,0,8,114,15,4,8707,8,12,31,49,8630,56,47,0,2,4.292984954634202,190,606,16,-77.036590576171875,9,254,8073,98.26893615722656,133,422,230,18.68,3.31,1.87,11410.339039142576,8581.149824356915,29.4010440429085,29.248639042908497,4,2,5.606794823455823,4.232850845070774,12,8.5,8.9
Claudiximab,51,12,14,2,53,3,16,116,15,0,9311,5,15,31,57,9194,74,45,0,2,4.304250886048759,191,622,16,-81.7795639038086,17,279,8669,99.04302978515624,147,376,246,15.26,4.83,5.66,10325.951799126437,8022.175193867255,26.298578648630837,25.83728864863083,4,2,5.067876779487891,4.956204785010912,26,9.47,9.24
