subset_threshold, dominating_set, doublets, isolated_nodes
AbChStruc_fv_IgK_human_0.4,"'AbChain_aromatic_content', 'AbStruc_plane_group_interactions', 'AbChain_14_charge', 'AbStruc_aromatic_interactions', 'AbStruc_mean_interaction_distance', 'AbStruc_beta_bridges', 'AbStruc_cys_bridges', 'AbChain_num_strong_binders', 'AbStruc_metsulphur_pi_interactions', 'AbChain_aliphatic_content', 'AbStruc_beta_strands', 'AbStruc_pcharge_hetrgen', 'AbChain_hydrophobicity'","{'AbStruc_beta_turns', 'AbStruc_threeten_helices'}","'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_immunopeptide_regions_span', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_folding_energy', 'AbStruc_free_cys'"
AbChStruc_fv_IgK_human_0.5,"'AbStruc_ncharge_hetrgen', 'AbStruc_weak_pbonds', 'AbStruc_carbon_pi_interactions', 'AbStruc_lauer_SAP', 'AbStruc_mean_interaction_distance', 'AbChain_1_charge', 'AbChain_aromatic_content', 'AbChain_aliphindex', 'AbStruc_donor_pi_interactions', 'AbChain_acidic_content', 'AbChain_av_resdiue_weight', 'AbStruc_cys_bridges', 'AbStruc_plane_group_interactions'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_num_weak_binders', 'AbChain_full_average_rank'}, {'AbStruc_loops', 'AbStruc_beta_strands'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bridges', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_pcharge_hetrgen'"
AbChStruc_fv_IgK_human_0.6,"'AbStruc_atom_plane_sum', 'AbChain_1_charge', 'AbStruc_pbonds', 'AbChain_tiny_content', 'AbChain_13_charge', 'AbStruc_plane_group_interactions', 'AbStruc_vdw_clashes', 'AbChain_small_content', 'AbStruc_amide_ring_interactions', 'AbStruc_cys_bridges', 'AbChain_aliphatic_content'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_beta_bridges', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgK_human_0.7,"'AbChain_acidic_content', 'AbStruc_pbonds', 'AbStruc_plane_group_interactions', 'AbChain_11_charge', 'AbStruc_atom_plane_sum', 'AbChain_mw', 'AbChain_1_charge'","{'AbChain_small_content', 'AbChain_av_resdiue_weight'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgK_human_0.8,"'AbStruc_proximal_interactions', 'AbStruc_folded_pI', 'AbChain_mw', 'AbChain_13_charge', 'AbChain_1_charge'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_plane_group_interactions', 'AbStruc_amide_amide_interactions'}, {'AbStruc_atom_plane_sum', 'AbStruc_carbon_pi_interactions'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_pbonds', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgK_human_0.9,"'AbChain_pI', 'AbChain_13_charge', 'AbChain_3_charge', 'AbStruc_proximal_interactions', 'AbChain_4_charge', 'AbChain_12_charge'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_mw', 'AbChain_length', 'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_amide_interactions', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_carbon_pi_interactions', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_aromatic_interactions', 'AbStruc_atom_plane_sum', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_mean_interaction_distance', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_plane_plane_interactions', 'AbStruc_pbonds', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_vdw_clashes', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen', 'AbStruc_plane_group_interactions'"
AbChStruc_fv_IgK_mouse_0.1,"'AbStruc_steric_clashes', 'AbStruc_beta_strands', 'AbStruc_carbonyl_interactions', 'AbChain_immunopeptide_regions_span', 'AbChain_num_weak_binders', 'AbStruc_ibonds', 'AbStruc_hbonds'","","'AbStruc_alpha_helices', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgK_mouse_0.2,"'AbChain_num_strong_binders', 'AbStruc_vdw_interactions', 'AbStruc_beta_bends', 'AbStruc_steric_clashes', 'AbStruc_carbonyl_interactions', 'AbChain_full_average_rank', 'AbStruc_beta_bridges', 'AbStruc_folding_energy'","","'AbStruc_alpha_helices', 'AbStruc_hbonds', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgK_mouse_0.3,"'AbChain_instaindex', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_threeten_helices', 'AbStruc_plane_group_interactions', 'AbStruc_beta_bridges', 'AbStruc_folding_energy', 'AbChain_solubility', 'AbChain_num_weak_binders', 'AbStruc_hydrophobic_interactions', 'AbChain_cysbridges_molextcoef'","","'AbStruc_alpha_helices', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgK_mouse_0.4,"'AbStruc_mean_interaction_distance', 'AbChain_aromatic_content', 'AbChain_14_charge', 'AbChain_av_resdiue_weight', 'AbStruc_cys_bridges', 'AbChain_hmom', 'AbChain_num_strong_binders', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_plane_group_interactions', 'AbStruc_pcharge_hetrgen', 'AbChain_aliphatic_content', 'AbStruc_aromatic_interactions', 'AbStruc_beta_strands'","","'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_immunopeptide_regions_span', 'AbStruc_alpha_helices', 'AbStruc_beta_bends', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgK_mouse_0.5,"'AbStruc_plane_group_interactions', 'AbStruc_carbon_pi_interactions', 'AbStruc_beta_turns', 'AbStruc_threeten_helices', 'AbStruc_donor_pi_interactions', 'AbStruc_mean_interaction_distance', 'AbChain_nonpolar_content', 'AbStruc_schains_sasa', 'AbStruc_cys_bridges', 'AbStruc_weak_pbonds', 'AbStruc_beta_bridges', 'AbChain_acidic_content', 'AbChain_aliphatic_content', 'AbStruc_phi_angle'","{'AbChain_num_weak_binders', 'AbChain_full_average_rank'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_immunopeptide_regions_span', 'AbStruc_alpha_helices', 'AbStruc_beta_bends', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgK_mouse_0.6,"'AbChain_hydrophobicity', 'AbChain_12_charge', 'AbStruc_total_interactions', 'AbStruc_cys_bridges', 'AbStruc_plane_group_interactions', 'AbChain_av_resdiue_weight', 'AbChain_length', 'AbChain_basic_content', 'AbStruc_atom_plane_sum', 'AbStruc_mean_interaction_distance'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_num_weak_binders', 'AbChain_full_average_rank'}, {'AbStruc_loops', 'AbStruc_beta_strands'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bridges', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgK_mouse_0.7,"'AbChain_mw', 'AbStruc_atom_plane_sum', 'AbChain_basic_content', 'AbChain_acidic_content', 'AbStruc_cys_bridges', 'AbStruc_plane_group_interactions', 'AbChain_small_content', 'AbStruc_pbonds', 'AbChain_14_charge'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_loops', 'AbStruc_beta_strands'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_aliphatic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgK_mouse_0.8,"'AbChain_14_charge', 'AbChain_3_charge', 'AbStruc_proximal_interactions', 'AbStruc_folded_pI'","{'AbChain_length', 'AbChain_mw'}, {'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_loops', 'AbStruc_beta_strands'}, {'AbStruc_plane_group_interactions', 'AbStruc_amide_amide_interactions'}, {'AbStruc_atom_plane_sum', 'AbStruc_carbon_pi_interactions'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_pbonds', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgK_mouse_0.9,"'AbStruc_proximal_interactions', 'AbChain_3_charge', 'AbChain_13_charge', 'AbChain_6_charge'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_mw', 'AbChain_length', 'AbChain_av_resdiue_weight', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_aliphindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_tiny_content', 'AbChain_small_content', 'AbChain_aliphatic_content', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_amide_amide_interactions', 'AbStruc_amide_ring_interactions', 'AbStruc_beta_bridges', 'AbStruc_carbon_pi_interactions', 'AbStruc_cation_pi_interactions', 'AbStruc_donor_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_metsulphur_pi_interactions', 'AbStruc_beta_bends', 'AbStruc_beta_turns', 'AbStruc_aromatic_interactions', 'AbStruc_atom_plane_sum', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_mean_interaction_distance', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_plane_plane_interactions', 'AbStruc_pbonds', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_vdw_clashes', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen', 'AbStruc_plane_group_interactions'"
AbChStruc_fv_IgL_human_0.1,"'AbStruc_steric_clashes', 'AbStruc_hbonds', 'AbChain_num_strong_binders', 'AbStruc_carbonyl_interactions', 'AbChain_instaindex', 'AbStruc_ibonds', 'AbStruc_loops', 'AbChain_immunopeptide_regions_span', 'AbStruc_alpha_helices'","","'AbStruc_weak_hbonds'"
AbChStruc_fv_IgL_human_0.2,"'AbStruc_steric_clashes', 'AbChain_immunopeptide_regions_span', 'AbChain_solubility', 'AbChain_cysbridges_molextcoef', 'AbStruc_folding_energy', 'AbStruc_carbonyl_interactions', 'AbStruc_vdw_interactions', 'AbChain_aliphindex', 'AbStruc_alpha_helices', 'AbChain_molextcoef', 'AbStruc_pi_helices', 'AbStruc_loops', 'AbStruc_sasa'","","'AbChain_instaindex', 'AbStruc_hbonds', 'AbStruc_weak_hbonds'"
AbChStruc_fv_IgL_human_0.3,"'AbChain_acidic_content', 'AbStruc_phi_angle', 'AbChain_cysbridges_molextcoef', 'AbChain_nonpolar_content', 'AbStruc_plane_group_interactions', 'AbStruc_loops', 'AbStruc_threeten_helices', 'AbChain_num_strong_binders', 'AbStruc_sasa', 'AbChain_percentextcoef', 'AbStruc_ibonds', 'AbStruc_vdw_clashes', 'AbStruc_psi_angle'","","'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy'"
AbChStruc_fv_IgL_human_0.4,"'AbStruc_cation_pi_interactions', 'AbStruc_mean_interaction_distance', 'AbChain_acidic_content', 'AbStruc_plane_group_interactions', 'AbChain_cysbridges_molextcoef', 'AbChain_hydrophobicity', 'AbStruc_pcharge_hetrgen', 'AbChain_mw', 'AbChain_nonpolar_content', 'AbStruc_beta_bends', 'AbStruc_psi_angle', 'AbChain_num_strong_binders', 'AbStruc_loops', 'AbChain_molextcoef', 'AbStruc_aromatic_interactions', 'AbStruc_amide_amide_interactions'","","'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_immunopeptide_regions_span', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy'"
AbChStruc_fv_IgL_human_0.5,"'AbStruc_lauer_SAP', 'AbStruc_atom_plane_sum', 'AbStruc_vdw_interactions', 'AbStruc_plane_group_interactions', 'AbChain_14_charge', 'AbChain_small_content', 'AbStruc_mean_interaction_distance', 'AbChain_aliphatic_content', 'AbChain_num_strong_binders', 'AbStruc_cys_bridges', 'AbChain_mw', 'AbStruc_pcharge_hetrgen', 'AbStruc_beta_strands'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgL_human_0.6,"'AbStruc_lauer_SAP', 'AbStruc_plane_group_interactions', 'AbChain_6_charge', 'AbStruc_cys_bridges', 'AbStruc_atom_plane_sum', 'AbStruc_vdw_clashes', 'AbChain_length', 'AbStruc_total_interactions', 'AbStruc_beta_bends', 'AbStruc_schains_sasa'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_num_weak_binders', 'AbChain_full_average_rank'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}","'AbChain_mw', 'AbChain_aromatic_content', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
AbChStruc_fv_IgL_human_0.7,"'AbStruc_pbonds', 'AbChain_11_charge', 'AbStruc_atom_plane_sum', 'AbChain_tiny_content', 'AbStruc_plane_group_interactions', 'AbStruc_beta_bridges', 'AbChain_basic_content'","{'AbChain_molextcoef', 'AbChain_percentextcoef'}, {'AbChain_cysbridges_molextcoef', 'AbChain_cysbridges_percenextcoef'}, {'AbChain_aliphindex', 'AbChain_aliphatic_content'}, {'AbChain_polar_content', 'AbChain_nonpolar_content'}, {'AbStruc_beta_bends', 'AbStruc_beta_turns'}, {'AbStruc_aromatic_interactions', 'AbStruc_plane_plane_interactions'}, {'AbStruc_mean_interaction_distance', 'AbStruc_vdw_clashes'}, {'AbStruc_schains_sasa', 'AbStruc_sasa'}, {'AbStruc_lauer_DI', 'AbStruc_lauer_SAP'}","'AbChain_mw', 'AbChain_length', 'AbChain_aromatic_content', 'AbChain_hydrophobicity', 'AbChain_hmom', 'AbChain_solubility', 'AbChain_instaindex', 'AbChain_min_rank', 'AbChain_num_strong_binders', 'AbChain_num_weak_binders', 'AbChain_full_average_rank', 'AbChain_acidic_content', 'AbChain_immunopeptide_regions_span', 'AbStruc_loops', 'AbStruc_cation_pi_interactions', 'AbStruc_beta_strands', 'AbStruc_threeten_helices', 'AbStruc_alpha_helices', 'AbStruc_pi_helices', 'AbStruc_carbonyl_interactions', 'AbStruc_steric_clashes', 'AbStruc_covbonds', 'AbStruc_hbonds', 'AbStruc_hydrophobic_interactions', 'AbStruc_ibonds', 'AbStruc_phi_angle', 'AbStruc_psi_angle', 'AbStruc_vdw_interactions', 'AbStruc_weak_hbonds', 'AbStruc_weak_pbonds', 'AbStruc_folding_energy', 'AbStruc_free_cys', 'AbStruc_cys_bridges', 'AbStruc_pcharge_hetrgen', 'AbStruc_ncharge_hetrgen'"
